名称,电话,Address,CityName
回龙埔社区公园,0755-28712281,龙岗区龙城街道龙埔路回龙埔社区公园,深圳市
横岗人民公园,,龙岗区横岗街道龙岗大道（横岗段）5014号横岗人民公园,深圳市
丽湖社区公园,,龙岗区吉华街道丽湖花园内,深圳市
富民公园,15876998878,龙岗区坪地街道富民路优客莱快捷酒店对面,深圳市
荔山公园,0755-84278518,龙岗区布吉街道百鸽笼地铁站附近,深圳市
石芽岭体育公园,0755-84270693,龙岗区布吉街道石芽岭体育公园,深圳市
凉帽社区公园,,龙岗区吉华街道凉帽村内,深圳市
甘坑社区公园,,龙岗区吉华街道甘坑新村内,深圳市
四方埔文体公园,15876998878,龙岗区坪地街道长深高速公路附近,深圳市
五指耙公园,,宝安区松岗街道松岗街道大田洋六路五指耙公园,深圳市
坪山区文体服务中心（公益开放）,0755-89661212,坪山区马峦街道体育一路坪山体育中心,深圳市
福田海滨生态体育公园（公益开放）,13422890151,福田区沙头街道白石路5号福田海滨生态体育公园,深圳市
薯田埔篮球场,,光明区马田街道薯田埔社区福南路（贝贝幼儿园旁）,深圳市
大宝路运动公园（公益）,15875531678,宝安区新安街道大宝路92号,深圳市
罗湖体育馆(公益开放),0755-25411001,罗湖区黄贝街道经二路48号,深圳市
罗湖网球中心(公益开放),0755-25428510,罗湖区黄贝街道经二路48号,深圳市
易建联篮球训练中心（公益开放）,0755-88398331,福田区沙头街道福田体育公园易建联篮球训练中心,深圳市
福海足球体育公园(公益开放),18688971056,宝安区福海街道桥头社区福山路,深圳市
宝安人才园西湾分园,0755-27806263,宝安区西乡街道金湾大道与西海堤交汇处,深圳市
龙岗区体育中心(免费),0755-28937089,龙岗区龙城街道中心城龙翔大道与水官高速交汇处,深圳市
企龙山足球公园,18664920094,宝安区西乡街道企龙山足球公园,深圳市
西乡体育中心,0755-27912900,宝安区西乡街道银田路18号,深圳市
景田网球中心(公益开放),0755-88601506,福田区莲花街道景田北街香蜜湖唯珍府旁（景田银座旁）,深圳市
园岭网球场（公益开放）,18503062626,福田区园岭街道园岭六街城建小公园内（深圳燃气集团园岭站旁）,深圳市
黄木岗网球中心（公益开放）,0755-82770188,福田区华富街道笋岗西路3072号（市二医院西行200米）,深圳市
莲花体育中心（公益开放）,0755-82770388,福田区莲花街道景田东路和景田南四街交界处（华强职业技术学校西侧）,深圳市
香蜜体育中心（公益开放）,0755-83771352,福田区香蜜湖街道侨香路与香蜜湖南路交界处,深圳市
福田体育公园（公益开放）,0755-82818699,福田区沙头街道福强路3030号福田体育公园,深圳市
